NIS,Commune,Dénominateur,Numérateur,Taux
91034,Dinant,202,107,"0,53"
91054,Gedinne,53,18,"0,34"
91059,Hamois,48,13,"0,27"
91064,Havelange,31,14,"0,45"
91072,Houyet,73,25,"0,34"
91103,Onhaye,32,14,"0,44"
91114,Rochefort,124,48,"0,39"
91120,Somme-Leuze,42,12,"0,29"
91141,Yvoir,74,28,"0,38"
91142,Hastière,103,51,"0,50"
91143,Vresse-sur-Semois,25,13,"0,52"
92003,Andenne,362,163,"0,45"
92006,Assesse,42,13,"0,31"
92035,Eghezée,87,37,"0,43"
92045,Floreffe,64,23,"0,36"
92048,Fosses-la-Ville,105,41,"0,39"
92054,Gesves,55,16,"0,29"
92087,Mettet,115,39,"0,34"
92094,Namur,1709,936,"0,55"
92097,Ohey,36,14,"0,39"
92101,Profondeville,100,44,"0,44"
92114,Sombreffe,57,13,"0,23"
92137,Sambreville,403,209,"0,52"
92138,Fernelmont,36,9,"0,25"
92140,Jemeppe-sur-Sambre,229,109,"0,48"
92141,La Bruyère,34,9,"0,26"
92142,Gembloux,215,75,"0,35"
93010,Cerfontaine,50,17,"0,34"
93014,Couvin,202,106,"0,52"
93018,Doische,33,16,"0,48"
93022,Florennes,111,42,"0,38"
93056,Philippeville,114,62,"0,54"
93088,Walcourt,155,51,"0,33"
93090,Viroinval,87,44,"0,51"
